method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
pos,30,5-4-1,1.0,711.0,635.0,11,15,50.00000000000001,117.0,4-5-1,359.0,0.008547008547008548,,
rf,31,3-4-3,43.0,237.0,357.0,11,15,89.8,137.0,3-5-2,84.0,0.31386861313868614,,
rf_relaxed,31,3-4-3,43.0,237.0,357.0,11,15,89.8,137.0,3-5-2,84.0,0.31386861313868614,,
rf_optfill,31,3-4-3,43.0,237.0,357.0,11,15,89.8,137.0,3-5-2,84.0,0.31386861313868614,,False
rf_pos,31,3-5-2,48.0,141.0,484.0,11,14,824.0,137.0,3-5-2,84.0,0.35036496350364965,,
rf_rank,31,5-4-1,26.0,588.0,677.0,11,15,551.0,137.0,3-5-2,84.0,0.1897810218978102,,
ma3,31,4-4-2,76.0,360.0,44.0,11,15,84.4,137.0,3-5-2,84.0,0.5547445255474452,,
pos,31,5-4-1,18.0,695.0,685.0,11,15,37.9,137.0,3-5-2,84.0,0.13138686131386862,,
rf,32,4-5-1,59.0,237.0,357.0,11,15,91.19999999999999,147.0,3-5-2,359.0,0.4013605442176871,,
rf_relaxed,32,4-5-1,59.0,237.0,357.0,11,15,91.19999999999999,147.0,3-5-2,359.0,0.4013605442176871,,
rf_optfill,32,4-5-1,59.0,237.0,357.0,11,15,91.19999999999999,147.0,3-5-2,359.0,0.4013605442176871,,False
rf_pos,32,3-5-2,60.0,141.0,265.0,11,14,796.0,147.0,3-5-2,359.0,0.40816326530612246,,
rf_rank,32,5-4-1,37.0,58.0,284.0,11,15,553.0,147.0,3-5-2,359.0,0.25170068027210885,,
ma3,32,3-5-2,78.0,357.0,234.0,11,15,91.69999999999999,147.0,3-5-2,359.0,0.5306122448979592,,
pos,32,5-4-1,12.0,8.0,690.0,11,15,57.599999999999994,147.0,3-5-2,359.0,0.08163265306122448,,
rf,33,4-5-1,63.0,234.0,233.0,11,15,90.3,136.0,3-5-2,233.0,0.4632352941176471,,
rf_relaxed,33,4-5-1,63.0,234.0,233.0,11,15,90.3,136.0,3-5-2,233.0,0.4632352941176471,,
