name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Roberto Firmino,0,,,,0,6,0,,,11.3,,,279,,,55,,0,0,8.1,,14.4,,2022-09-03T11:30:00Z,,,,45,,,8,0,,0,0,,0,6,0,437647,,,,0.0,0.0,55.0,1,78712,141909,63197,81,False,,0,6,2022-23,FWD,Liverpool,7.8,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara do Nascimento,0,,,,0,0,0,,,0.0,,,277,,,55,,0,0,0.0,,0.0,,2022-09-03T11:30:00Z,,,,0,,,8,0,,0,0,,0,6,0,48791,,,,0.0,0.0,0.0,0,-4586,838,5424,52,False,,0,6,2022-23,MID,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0
João Palhinha Gonçalves,0,,,,0,19,0,,,4.4,,,220,,,59,,2,0,2.1,,16.4,,2022-09-03T14:00:00Z,,,,84,,,18,0,,0,0,,0,6,0,30117,,,,1.0,2.0,0.0,1,-781,3030,3811,50,False,,1,6,2022-23,MID,Fulham,1.4,0.0,0.0,0.0,0.0,0.0
Matt Clarke,0,,,,0,0,0,,,0.0,,,543,,,53,,0,0,0.0,,0.0,,2022-09-04T13:00:00Z,,,,0,,,10,0,,0,0,,0,6,0,18130,,,,2.0,5.0,0.0,0,-2964,0,2964,40,True,,0,6,2022-23,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0
Kieran Trippier,0,,,,2,38,1,,,97.3,,,357,,,57,,0,0,13.5,,29.4,,2022-09-03T14:00:00Z,,,,90,,,7,0,,0,0,,0,6,0,2938643,,,,0.0,0.0,8.0,8,197161,392697,195536,51,True,,0,6,2022-23,DEF,Newcastle,4.6,0.0,0.0,0.0,0.0,0.0
Moussa Niakhaté,0,,,,0,0,0,,,0.0,,,507,,,58,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,3,0,,0,0,,0,6,0,7025,,,,3.0,2.0,0.0,0,-1146,27,1173,44,True,,0,6,2022-23,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0
Bernd Leno,0,,,,0,25,0,,,0.0,,,2,,,59,,2,0,5.8,,57.6,,2022-09-03T14:00:00Z,,,,90,,,18,0,,0,0,,0,6,8,135461,,,,1.0,2.0,0.0,3,-229,9179,9408,45,False,,0,6,2022-23,GK,Fulham,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Walker-Peters,0,,,,0,14,0,,,4.2,,,409,,,60,,1,0,2.2,,11.8,,2022-09-03T14:00:00Z,,,,90,,,20,0,,0,0,,0,6,0,139979,,,,0.0,1.0,6.0,2,11238,21748,10510,45,False,,0,6,2022-23,DEF,Southampton,3.0,0.0,0.0,0.0,0.0,0.0
Joe Rothwell,0,,,,0,0,0,,,0.0,,,505,,,58,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,16,0,,0,0,,0,6,0,476,,,,3.0,2.0,0.0,0,-46,24,70,49,False,,0,6,2022-23,MID,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Varela Tavares,0,,,,0,0,0,,,0.0,,,17,,,56,,0,0,0.0,,0.0,,2022-09-04T15:30:00Z,,,,0,,,14,0,,0,0,,0,6,0,1013,,,,1.0,3.0,0.0,0,-90,0,90,45,False,,0,6,2022-23,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
