id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
194,Jordan,Jordan,Beyer,2,DEF,3,Burnley,BUR,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
195,Lucas Pires,Lucas,Pires Silva,2,DEF,3,Burnley,BUR,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
196,Sambo,Shurandy,Sambo,2,DEF,3,Burnley,BUR,4.0,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
197,Sonne,Oliver,Sonne,2,DEF,3,Burnley,BUR,4.0,a,,0.1,1.0,1.0,4.6,15.9,6.0,2.7
198,Tuanzebe,Axel,Tuanzebe,2,DEF,3,Burnley,BUR,4.0,a,,2.3,0.0,0.0,0.0,0.0,0.0,0.0
199,Worrall,Joe,Worrall,2,DEF,3,Burnley,BUR,4.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
200,Anthony,Jaidon,Anthony,3,MID,3,Burnley,BUR,5.5,a,,0.1,2.0,2.0,7.0,26.2,32.0,6.5
201,Benson,Manuel,Benson Hedilazio,3,MID,3,Burnley,BUR,5.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Bruun Larsen,Jacob,Bruun Larsen,3,MID,3,Burnley,BUR,5.5,a,,0.0,1.0,1.0,3.6,0.7,8.0,1.2
203,Boateng,Enock,Agyei,3,MID,3,Burnley,BUR,5.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
204,Churlinov,Darko,Churlinov,3,MID,3,Burnley,BUR,5.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Cullen,Josh,Cullen,3,MID,3,Burnley,BUR,5.0,a,,0.1,4.0,4.0,23.8,59.4,0.0,8.3
206,Edwards,Marcus,Edwards,3,MID,3,Burnley,BUR,5.0,a,,0.1,1.0,1.0,0.0,0.0,0.0,0.0
207,Hannibal,Hannibal,Mejbri,3,MID,3,Burnley,BUR,5.0,a,,0.1,2.0,2.0,0.0,1.7,5.0,0.6
208,Koleosho,Luca,Koleosho,3,MID,3,Burnley,BUR,5.0,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Laurent,Josh,Laurent,3,MID,3,Burnley,BUR,5.0,a,,0.0,2.0,2.0,10.6,11.2,20.0,4.2
210,Tchaouna,Loum,Tchaouna,3,MID,3,Burnley,BUR,5.0,a,,0.0,1.0,1.0,3.2,0.8,0.0,0.4
211,A.Ramsey,Aaron,Ramsey,3,MID,3,Burnley,BUR,4.5,a,,9.3,0.0,0.0,0.0,0.0,0.0,0.0
212,Adewumi,Oluwaseun,Adewumi,3,MID,3,Burnley,BUR,4.5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Banel,Jaydon,Banel,3,MID,3,Burnley,BUR,4.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
