name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Myles Peart-Harris,0,,,,0,0,0,,,0.0,,,744,,,323,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,17,0,,0,0,,0,33,0,132,,,,0.0,2.0,0.0,0,0,0,0,45,True,,0,33,2023-24,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0
Tyrick Mitchell,1,,,,3,37,1,,,16.7,,,234,,,326,,0,0,6.1,,42.2,,2024-04-14T13:00:00Z,,,,90,,,11,0,,0,0,,0,33,0,297084,,,,1.0,0.0,2.0,12,-4056,7747,11803,45,False,,0,33,2023-24,DEF,Crystal Palace,3.5,0.16,0.16,0.0,2.87,1.0
James Maddison,0,,,,0,10,0,,,52.7,,,504,,,328,,3,0,9.2,,18.8,,2024-04-13T11:30:00Z,,,,80,,,15,0,,0,0,,0,33,0,1188639,,,,0.0,4.0,20.0,1,-99488,16892,116380,79,False,,1,33,2023-24,MID,Spurs,2.3,0.26,0.31,0.05,2.68,1.0
Cauley Woodrow,0,,,,0,5,0,,,10.4,,,340,,,327,,4,0,1.8,,2.0,,2024-04-13T14:00:00Z,,,,31,,,13,0,,0,0,,0,33,0,71884,,,,1.0,5.0,6.0,1,935,3254,2319,43,False,,0,33,2023-24,FWD,Luton,0.3,0.02,0.11,0.09,1.96,0.0
Mohamed Salah,0,,,,0,5,0,,,63.4,,,308,,,326,,1,0,12.1,,16.8,,2024-04-14T13:00:00Z,,,,90,,,8,0,,0,0,,0,33,0,4140348,,,,1.0,0.0,41.0,2,130716,163217,32501,135,True,,0,33,2023-24,MID,Liverpool,5.0,0.28,0.67,0.39,1.87,1.0
Harry Kane,0,,,,0,0,0,,,0.0,,,500,,,328,,0,0,0.0,,0.0,,2024-04-13T11:30:00Z,,,,0,,,15,0,,0,0,,0,33,0,61714,,,,0.0,4.0,0.0,0,-48,0,48,125,False,,0,33,2023-24,FWD,Spurs,0.0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,0,,,,0,0,0,,,0.0,,,367,,,327,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,12,0,,0,0,,0,33,0,13766,,,,1.0,5.0,0.0,0,-151,0,151,39,True,,0,33,2023-24,GK,Man City,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Semenyo,0,,,,0,0,0,,,0.0,,,82,,,322,,0,0,0.0,,0.0,,2024-04-13T16:30:00Z,,,,0,,,14,0,,0,0,,0,33,0,323715,,,,2.0,2.0,0.0,0,-47907,9364,57271,45,True,,0,33,2023-24,FWD,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Ibrahim,0,,,,0,0,0,,,0.0,,,737,,,321,,0,0,0.0,,0.0,,2024-04-14T15:30:00Z,,,,0,,,2,0,,0,0,,0,33,0,366,,,,2.0,0.0,0.0,0,-3,0,3,45,True,,0,33,2023-24,MID,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
Altay Bayindir,0,,,,0,0,0,,,0.0,,,695,,,322,,0,0,0.0,,0.0,,2024-04-13T16:30:00Z,,,,0,,,3,0,,0,0,,0,33,0,6688,,,,2.0,2.0,0.0,0,-162,73,235,39,False,,0,33,2023-24,GK,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
